City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Butaritari,KI,82.67,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
6,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,People ThankYou
14,Phan Thiet,VN,87.73,overcast clouds,10.9333,108.1,Hotel Saigon-PT
29,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
31,Cockburn Town,TC,75.96,clear sky,21.4612,-71.1419,Osprey Beach Hotel
36,Chiang Khong,TH,78.37,few clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
38,Lorengau,PG,85.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
40,Bengkulu,ID,77.45,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
46,Acapulco,MX,75.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
47,Kieta,PG,85.95,light rain,-6.2167,155.6333,Uruna Bay Retreat
59,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
61,Arraial Do Cabo,BR,75.65,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Meulaboh,ID,83.98,moderate rain,4.1363,96.1285,Kost Pria
64,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Ballina,AU,78.98,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
74,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
78,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
83,Ternate,ID,85.55,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
89,Broken Hill,AU,80.31,few clouds,-31.95,141.4333,Royal Exchange Hotel
91,Saint-Philippe,RE,81.99,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Faanui,PF,80.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Karratha,AU,93.67,broken clouds,-20.7377,116.8463,ibis Styles Karratha
99,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
100,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
