City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,70.27,64,75,9.22,broken clouds
1,Okhotsk,RU,59.3833,143.3,7.7,71,95,15.41,overcast clouds
2,Butaritari,KI,3.0707,172.7902,82.67,78,43,17.05,scattered clouds
3,Avera,US,33.194,-82.5271,49.51,80,100,15.5,overcast clouds
4,Carnarvon,AU,-24.8667,113.6333,105.87,21,10,12.66,clear sky
5,Moose Factory,CA,51.2585,-80.6094,-16.6,76,0,3.44,clear sky
6,Rikitea,PF,-23.1203,-134.9692,79.05,68,5,8.55,clear sky
7,Ponta Delgada,PT,37.7333,-25.6667,58.5,72,40,8.05,scattered clouds
8,Cape Town,ZA,-33.9258,18.4232,65.88,68,0,5.01,clear sky
9,Mataura,NZ,-46.1927,168.8643,59.49,39,6,6.02,clear sky
10,Victoria,HK,22.2855,114.1577,62.26,75,75,1.99,broken clouds
11,Aleksandrov Gay,RU,50.147,48.5704,26.08,93,100,11.16,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,69.12,83,95,10.71,light rain
13,Genhe,CN,50.7833,121.5167,6.46,72,100,8.97,overcast clouds
14,Phan Thiet,VN,10.9333,108.1,87.73,49,96,19.91,overcast clouds
15,Longyearbyen,SJ,78.2186,15.6401,13.84,57,20,26.46,few clouds
16,Santa Cruz,BO,-17.8,-63.1667,74.66,94,75,13.8,broken clouds
17,Taoudenni,ML,22.6783,-3.9836,62.55,15,39,10.11,scattered clouds
18,Haines Junction,CA,60.7522,-137.5108,-9.45,84,100,1.14,overcast clouds
19,Albany,US,42.6001,-73.9662,15.75,84,99,1.01,overcast clouds
20,Kodiak,US,57.79,-152.4072,36.91,87,100,5.75,overcast clouds
21,Ilulissat,GL,69.2167,-51.1,10.42,56,40,11.5,scattered clouds
22,Nikolskoye,RU,59.7035,30.7861,18.39,87,100,13.15,overcast clouds
23,Chilca,PE,-12.5211,-76.7372,70.09,85,97,5.64,overcast clouds
24,Port Lincoln,AU,-34.7333,135.8667,73.83,56,6,10.94,clear sky
25,Cabo San Lucas,MX,22.8909,-109.9124,64.71,72,20,0.0,few clouds
26,Jamestown,US,42.097,-79.2353,18.72,92,100,9.22,mist
27,Balgazyn,RU,51.0,95.2,-2.43,85,29,2.71,scattered clouds
28,Fukue,JP,32.6881,128.8419,41.36,56,75,16.11,broken clouds
29,Georgetown,MY,5.4112,100.3354,85.93,80,20,3.0,few clouds
30,Punta Arenas,CL,-53.15,-70.9167,44.71,81,0,4.61,clear sky
31,Cockburn Town,TC,21.4612,-71.1419,75.96,73,0,16.31,clear sky
32,Bethel,US,41.3712,-73.414,30.04,82,100,8.05,overcast clouds
33,Hilo,US,19.7297,-155.09,74.8,95,31,5.41,scattered clouds
34,Ponta Do Sol,PT,32.6667,-17.1,65.71,69,86,4.14,overcast clouds
35,Dunedin,NZ,-45.8742,170.5036,54.14,64,76,5.3,broken clouds
36,Chiang Khong,TH,20.2613,100.4046,78.37,51,12,1.14,few clouds
37,Rocha,UY,-34.4833,-54.3333,65.98,96,60,3.76,broken clouds
38,Lorengau,PG,-2.0226,147.2712,85.19,64,98,9.01,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,2.57,71,100,6.2,overcast clouds
40,Bengkulu,ID,-3.8004,102.2655,77.45,82,100,2.75,light rain
41,Ayan,RU,56.45,138.1667,-0.2,67,50,14.25,scattered clouds
42,Ushuaia,AR,-54.8,-68.3,46.06,81,0,11.5,clear sky
43,Katsuura,JP,35.1333,140.3,46.51,39,98,8.21,overcast clouds
44,Thinadhoo,MV,0.5333,72.9333,81.97,71,100,11.56,overcast clouds
45,Jining,CN,35.405,116.5814,38.03,19,81,6.06,broken clouds
46,Acapulco,MX,16.8634,-99.8901,75.02,83,20,0.0,few clouds
47,Kieta,PG,-6.2167,155.6333,85.95,72,100,11.56,light rain
48,Lompoc,US,34.6391,-120.4579,56.41,76,0,0.0,clear sky
49,Clyde River,CA,70.4692,-68.5914,-14.57,70,75,3.44,broken clouds
50,Bluff,NZ,-46.6,168.3333,59.81,58,50,5.48,scattered clouds
51,Troitsko-Pechorsk,RU,62.7084,56.1964,-11.34,100,100,2.8,overcast clouds
52,Saskylakh,RU,71.9167,114.0833,-11.45,99,99,5.17,overcast clouds
53,Thompson,CA,55.7435,-97.8558,-21.84,76,0,4.61,clear sky
54,Soller,ES,39.7662,2.7152,53.04,78,100,1.01,overcast clouds
55,Port Hardy,CA,50.6996,-127.4199,45.75,93,100,6.91,light rain
56,Volchansk,RU,59.9378,60.081,13.73,96,100,3.6,light snow
57,Rodrigues Alves,BR,-7.738,-72.6509,72.36,98,100,2.33,overcast clouds
58,Shenjiamen,CN,29.9576,122.298,44.37,61,53,16.26,broken clouds
59,Mount Isa,AU,-20.7333,139.5,87.57,18,5,6.91,clear sky
60,Busselton,AU,-33.65,115.3333,104.04,30,8,9.06,clear sky
61,Arraial Do Cabo,BR,-22.9661,-42.0278,75.65,88,100,21.27,overcast clouds
62,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,2.3,clear sky
63,Meulaboh,ID,4.1363,96.1285,83.98,65,84,3.02,moderate rain
64,Souillac,MU,-20.5167,57.5167,80.37,89,75,17.27,light rain
65,Bredasdorp,ZA,-34.5322,20.0403,64.27,78,37,12.62,scattered clouds
66,Sao Filipe,CV,14.8961,-24.4956,73.11,70,0,11.7,clear sky
67,Bandarbeyla,SO,9.4942,50.8122,73.24,72,0,4.34,clear sky
68,Dikson,RU,73.5069,80.5464,-2.04,91,100,4.76,overcast clouds
69,Asau,RO,46.4333,26.4,24.28,73,56,6.4,broken clouds
70,Red Bluff,US,40.1785,-122.2358,54.63,53,0,3.44,clear sky
71,Ballina,AU,-28.8667,153.5667,78.98,72,100,21.85,light rain
72,Lebedinyy,RU,58.5167,125.5167,-3.26,91,100,4.54,overcast clouds
73,Merauke,ID,-8.4667,140.3333,85.84,70,52,12.64,broken clouds
74,Port Blair,IN,11.6667,92.75,84.24,74,40,6.91,scattered clouds
75,Luderitz,NA,-26.6481,15.1594,68.92,71,93,3.0,overcast clouds
76,Chokurdakh,RU,70.6333,147.9167,-30.86,100,18,1.86,few clouds
77,Chuy,UY,-33.6971,-53.4616,68.59,94,36,4.23,scattered clouds
78,Kloulklubed,PW,7.0419,134.2556,84.7,82,44,18.19,scattered clouds
79,Rawson,AR,-43.3002,-65.1023,57.74,62,62,15.79,broken clouds
80,Dakar,SN,14.6937,-17.4441,68.88,100,0,4.61,clear sky
81,Palmer,US,42.1584,-72.3287,30.02,84,100,1.99,overcast clouds
82,Umm Lajj,SA,25.0213,37.2685,61.12,50,35,6.89,scattered clouds
83,Ternate,ID,0.8,127.4,85.55,67,95,4.63,overcast clouds
84,Fortuna,US,40.5982,-124.1573,46.92,93,100,1.01,overcast clouds
85,Kaitangata,NZ,-46.2817,169.8464,56.8,56,17,8.12,few clouds
86,Faya,SA,18.3851,42.4509,53.71,90,27,5.5,scattered clouds
87,Nantucket,US,41.2835,-70.0995,36.14,94,100,19.15,overcast clouds
88,Pevek,RU,69.7008,170.3133,-25.73,99,97,5.97,overcast clouds
89,Broken Hill,AU,-31.95,141.4333,80.31,28,24,13.8,few clouds
90,Baykit,RU,61.67,96.37,13.96,95,100,3.27,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,81.99,88,100,25.12,moderate rain
92,Agucadoura,PT,41.4318,-8.7804,47.32,85,85,6.73,overcast clouds
93,Nanortalik,GL,60.1432,-45.2371,11.91,60,75,38.21,broken clouds
94,Faanui,PF,-16.4833,-151.75,80.4,75,69,13.8,light rain
95,Ahmadpur,IN,18.7,76.9333,59.18,19,89,7.31,overcast clouds
96,Karratha,AU,-20.7377,116.8463,93.67,52,61,18.88,broken clouds
97,Vostok,RU,46.4856,135.8833,0.68,86,100,6.55,overcast clouds
98,Doume,CM,4.2333,13.45,61.18,35,48,1.54,scattered clouds
99,Avarua,CK,-21.2078,-159.775,82.45,74,20,13.8,few clouds
100,Hithadhoo,MV,-0.6,73.0833,81.97,73,97,11.68,overcast clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,48,1.99,scattered clouds
102,East London,ZA,-33.0153,27.9116,65.34,94,40,3.44,scattered clouds
103,Hasaki,JP,35.7333,140.8333,45.0,30,7,12.28,clear sky
104,Buraydah,SA,26.326,43.975,50.45,38,0,10.33,clear sky
105,Krapivinskiy,RU,54.9992,86.8133,11.84,91,84,5.21,broken clouds
106,Fairbanks,US,64.8378,-147.7164,7.09,69,100,0.0,light snow
107,Castro,BR,-24.7911,-50.0119,64.18,98,73,4.47,broken clouds
108,Maltahohe,NA,-24.8333,16.9833,70.48,49,27,11.95,scattered clouds
109,Kavieng,PG,-2.5744,150.7967,84.15,70,92,7.99,overcast clouds
110,Poum,NC,-20.2333,164.0167,81.54,76,99,15.79,moderate rain
111,Carutapera,BR,-1.195,-46.02,75.25,93,100,5.06,overcast clouds
112,Kikwit,CD,-5.041,18.8162,67.89,91,100,1.97,overcast clouds
113,Khatanga,RU,71.9667,102.5,-35.73,100,87,2.62,overcast clouds
114,Itaituba,BR,-4.2761,-55.9836,78.96,89,75,0.0,broken clouds
115,Djibo,BF,14.1022,-1.6306,62.8,11,30,10.76,scattered clouds
116,Port Macquarie,AU,-31.4333,152.9167,74.89,66,81,17.31,broken clouds
117,Belaya Gora,RU,68.5333,146.4167,-32.39,99,62,0.43,broken clouds
118,Walvis Bay,NA,-22.9575,14.5053,66.09,88,93,6.91,overcast clouds
119,Atuona,PF,-9.8,-139.0333,78.73,77,20,15.84,few clouds
120,Cidreira,BR,-30.1811,-50.2056,72.1,93,11,4.5,few clouds
121,Tasiilaq,GL,65.6145,-37.6368,24.96,69,100,39.88,overcast clouds
122,Vaini,TO,-21.2,-175.2,77.16,94,100,17.27,overcast clouds
123,Tingo Maria,PE,-9.2895,-76.0088,68.88,94,48,1.83,scattered clouds
124,Kirkwall,GB,58.9848,-2.9587,37.45,81,20,13.8,few clouds
125,Henties Bay,NA,-22.116,14.2845,65.86,84,100,3.87,overcast clouds
126,Aylmer,CA,42.7668,-80.983,9.75,92,100,4.74,overcast clouds
127,Hoquiam,US,46.9809,-123.8893,47.26,93,100,18.41,overcast clouds
128,Aykhal,RU,66.0,111.5,-16.35,100,89,5.68,overcast clouds
129,Longhua,CN,23.6137,114.1919,57.34,57,42,4.5,scattered clouds
130,Richards Bay,ZA,-28.783,32.0377,71.49,91,100,15.43,moderate rain
131,Airai,TL,-8.9266,125.4092,70.25,76,97,2.86,overcast clouds
132,Grand Gaube,MU,-20.0064,57.6608,80.38,80,99,11.99,overcast clouds
133,Salalah,OM,17.0151,54.0924,71.69,68,75,2.3,broken clouds
134,Salinopolis,BR,-0.6136,-47.3561,77.31,87,100,6.02,overcast clouds
