City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-02-04 06:16:31,-33.8667,121.9,79.79,49,8,17.85
1,Punta Arenas,CL,2022-02-04 06:16:32,-53.15,-70.9167,41.11,70,75,10.36
2,Tuktoyaktuk,CA,2022-02-04 06:16:32,69.4541,-133.0374,-25.6,75,0,9.22
3,Vaini,TO,2022-02-04 06:12:34,-21.2,-175.2,77.16,94,75,10.36
4,Mataura,NZ,2022-02-04 06:16:33,-46.1927,168.8643,54.48,99,100,2.86
5,Atuona,PF,2022-02-04 06:12:30,-9.8,-139.0333,78.66,73,3,19.3
6,Luganville,VU,2022-02-04 06:16:34,-15.5333,167.1667,76.03,96,100,5.41
7,Rovaniemi,FI,2022-02-04 06:16:34,66.5,25.7167,-0.99,84,100,10.36
8,Bambous Virieux,MU,2022-02-04 06:16:35,-20.3428,57.7575,83.21,89,75,23.02
9,Vao,NC,2022-02-04 06:16:35,-22.6667,167.4833,78.21,89,96,23.8
10,Cayenne,GF,2022-02-04 06:16:36,4.9333,-52.3333,79.09,87,40,3.0
11,Bluff,NZ,2022-02-04 06:16:36,-46.6,168.3333,54.81,76,100,7.47
12,Hermanus,ZA,2022-02-04 06:16:07,-34.4187,19.2345,65.89,63,85,11.21
13,Thompson,CA,2022-02-04 06:16:37,55.7435,-97.8558,-21.84,69,0,3.44
14,New Norfolk,AU,2022-02-04 06:16:38,-42.7826,147.0587,70.88,43,4,3.0
15,Busselton,AU,2022-02-04 06:16:38,-33.65,115.3333,102.04,35,38,11.1
16,Ketchikan,US,2022-02-04 06:13:21,55.3422,-131.6461,46.38,93,90,16.11
17,Nikolskoye,RU,2022-02-04 06:16:39,59.7035,30.7861,1.29,100,100,3.24
18,Hilo,US,2022-02-04 06:16:39,19.7297,-155.09,71.33,85,100,0.0
19,Tuchola,PL,2022-02-04 06:16:40,53.5879,17.8591,40.55,100,100,6.11
20,Saldanha,ZA,2022-02-04 06:16:40,-33.0117,17.9442,62.82,66,0,21.41
21,Tuatapere,NZ,2022-02-04 06:16:41,-46.1333,167.6833,54.82,87,100,3.22
22,Yaan,NG,2022-02-04 06:16:41,7.3833,8.5667,71.4,16,5,3.98
23,Samarai,PG,2022-02-04 06:16:42,-10.6167,150.6667,84.34,71,71,6.62
